N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;21.03.2020;6,1;1,4;-3,7;0
Ørskog;SN60800;22.03.2020;6,6;5,4;0,8;-
Ørskog;SN60800;23.03.2020;13,4;9,9;5,4;-
Ørskog;SN60800;24.03.2020;13,1;10,2;6,4;0
Ørskog;SN60800;25.03.2020;15,2;6,8;4,3;0
Ørskog;SN60800;26.03.2020;10,5;5,3;1,3;0
Ørskog;SN60800;27.03.2020;8,1;5,3;3,5;-
Ørskog;SN60800;28.03.2020;6,3;0,5;-1,5;2
Ørskog;SN60800;29.03.2020;2,2;0,2;-2,3;15
Ørskog;SN60800;30.03.2020;6,2;1,5;-1,8;12
Ørskog;SN60800;31.03.2020;6,1;4,6;0,6;7
