N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.06.2021;18,9;14,7;8,8;0
Ørskog;SN60800;02.06.2021;21,8;15,7;9,2;0
Ørskog;SN60800;03.06.2021;25,6;18,5;9,7;0
Ørskog;SN60800;04.06.2021;25,5;18;10,6;0
Ørskog;SN60800;05.06.2021;18,8;15,7;10,9;0
Ørskog;SN60800;06.06.2021;16,6;13,8;12,9;0
Ørskog;SN60800;07.06.2021;18,9;14,5;9;0
Ørskog;SN60800;08.06.2021;18,3;14,9;11;0
Ørskog;SN60800;09.06.2021;20,5;15,9;9,8;0
Ørskog;SN60800;10.06.2021;22,2;18,7;11,8;0
Ørskog;SN60800;11.06.2021;21,3;16,1;13,9;0
Ørskog;SN60800;12.06.2021;13,9;10,5;9,4;0
Ørskog;SN60800;13.06.2021;16,4;12;9,2;0
Ørskog;SN60800;14.06.2021;16,2;11,2;9,7;0
Ørskog;SN60800;15.06.2021;11,6;8,9;8,2;0
Ørskog;SN60800;16.06.2021;15,1;11,2;6,2;0
Ørskog;SN60800;17.06.2021;15,3;12,7;12;0
Ørskog;SN60800;18.06.2021;14,8;11,9;10,6;0
Ørskog;SN60800;19.06.2021;15,4;12;8,3;0
Ørskog;SN60800;20.06.2021;18,1;14,3;11;0
Ørskog;SN60800;21.06.2021;15;12,1;11,4;0
Ørskog;SN60800;22.06.2021;17,6;13,2;7,5;0
Ørskog;SN60800;23.06.2021;16,1;12,8;8,2;-
Ørskog;SN60800;24.06.2021;16,5;13,2;11,7;-
Ørskog;SN60800;25.06.2021;14,3;12,6;10,9;-
Ørskog;SN60800;26.06.2021;14,6;12,8;11,8;-
Ørskog;SN60800;27.06.2021;18;13,6;8,8;-
Ørskog;SN60800;28.06.2021;17,7;14,1;12,3;-
Ørskog;SN60800;29.06.2021;17,4;13,5;11,2;-
Ørskog;SN60800;30.06.2021;23,4;16,8;9,1;-
