N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;10.11.2022;11,7;6,6;4,7;0
Ørskog;SN60800;11.11.2022;11;6,9;4,7;0
Ørskog;SN60800;12.11.2022;6,8;3,8;1,4;0
Ørskog;SN60800;13.11.2022;8,2;5,3;2,6;0
Ørskog;SN60800;14.11.2022;7,4;3,6;0,5;0
Ørskog;SN60800;15.11.2022;12,2;9,5;3,4;0
Ørskog;SN60800;16.11.2022;13,8;11,8;7,1;0
Ørskog;SN60800;17.11.2022;14,3;5,1;3,3;0
Ørskog;SN60800;18.11.2022;5,8;4,2;2,4;0
Ørskog;SN60800;19.11.2022;11,2;7,5;4,3;0
Ørskog;SN60800;20.11.2022;7,5;4,6;2,6;0
Ørskog;SN60800;21.11.2022;2,6;1,2;0,4;0
Ørskog;SN60800;22.11.2022;7,6;4;0,2;0
Ørskog;SN60800;23.11.2022;8,2;6,3;3,9;0
Ørskog;SN60800;24.11.2022;9,7;4,7;2,3;0
Ørskog;SN60800;25.11.2022;2,3;0,1;-0,3;3
Ørskog;SN60800;26.11.2022;-0,2;-4,9;-7,1;15
Ørskog;SN60800;27.11.2022;-6,7;-8,4;-9,1;13
Ørskog;SN60800;28.11.2022;-4,4;-7,1;-10,4;11
Ørskog;SN60800;29.11.2022;2;-1,7;-8,2;9
Ørskog;SN60800;30.11.2022;2,5;-0,4;-1,5;17
Ørskog;SN60800;01.12.2022;-0,4;-4,2;-7;33
Ørskog;SN60800;02.12.2022;1;-3,4;-5,7;44
Ørskog;SN60800;03.12.2022;-1,8;-5,3;-11,3;39
Ørskog;SN60800;04.12.2022;3,8;2,3;-1,9;32
Ørskog;SN60800;05.12.2022;3,3;1,4;0,7;28
Ørskog;SN60800;06.12.2022;1;-0,6;-0,9;26
Ørskog;SN60800;07.12.2022;2,6;1;-1,2;23
Ørskog;SN60800;08.12.2022;2,8;2,2;-0,5;21
Ørskog;SN60800;09.12.2022;5;4;1,2;19
Ørskog;SN60800;10.12.2022;5;2,4;1;18
Ørskog;SN60800;11.12.2022;1,8;-1,4;-5,6;17
Ørskog;SN60800;12.12.2022;7,4;6,2;-2,2;14
Ørskog;SN60800;13.12.2022;11,7;7,5;3,5;4
Ørskog;SN60800;14.12.2022;8,4;6,6;3,9;0
Ørskog;SN60800;15.12.2022;8,7;7;4,3;0
Ørskog;SN60800;16.12.2022;8,5;6,3;5,5;0
Ørskog;SN60800;17.12.2022;7,8;6,8;3,1;0
Ørskog;SN60800;18.12.2022;9;7,9;6,8;0
Ørskog;SN60800;19.12.2022;7,9;1,9;0,6;0
Ørskog;SN60800;20.12.2022;1,4;0,5;-0,4;0
Ørskog;SN60800;21.12.2022;4,1;2,3;-1;0
Ørskog;SN60800;22.12.2022;4,7;1,2;0,5;0
Ørskog;SN60800;23.12.2022;1,6;-0,8;-2,7;0
Ørskog;SN60800;24.12.2022;0,6;-5,5;-9,8;6
Ørskog;SN60800;25.12.2022;1,1;-0,8;-4,7;31
Ørskog;SN60800;26.12.2022;1,4;0,4;0,1;34
Ørskog;SN60800;27.12.2022;0,5;-2,3;-5,8;27
Ørskog;SN60800;28.12.2022;1,7;0,4;-1,6;25
Ørskog;SN60800;29.12.2022;6,6;2,2;-3,4;23
Ørskog;SN60800;30.12.2022;4,8;1,9;-0,8;20
Ørskog;SN60800;31.12.2022;0,8;0,3;-0,8;16
