N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;02.02.2021;-1,9;-6,7;-9,7;46
Ørskog;SN60800;03.02.2021;-5,7;-10,6;-12,8;43
Ørskog;SN60800;04.02.2021;-5,9;-9,2;-12,1;40
Ørskog;SN60800;05.02.2021;-4,1;-9,2;-12,4;39
Ørskog;SN60800;06.02.2021;-2,8;-9,4;-12;37
Ørskog;SN60800;07.02.2021;-3,1;-9,1;-12,5;36
Ørskog;SN60800;08.02.2021;-4,4;-10,5;-12,9;36
Ørskog;SN60800;09.02.2021;-5,4;-11;-14,3;35
Ørskog;SN60800;10.02.2021;-2,1;-7,1;-12,6;37
Ørskog;SN60800;11.02.2021;-2,7;-10,5;-14,3;36
Ørskog;SN60800;12.02.2021;-3,6;-10,3;-14,7;36
Ørskog;SN60800;13.02.2021;-0,4;-4,2;-10,9;36
Ørskog;SN60800;14.02.2021;1,4;-2,2;-8,8;35
Ørskog;SN60800;15.02.2021;4,2;3;-0,5;35
Ørskog;SN60800;16.02.2021;6,7;4;-1,1;33
Ørskog;SN60800;17.02.2021;6,9;5,2;3,8;29
Ørskog;SN60800;18.02.2021;8,9;6,8;3,1;26
Ørskog;SN60800;19.02.2021;9,8;8;5,1;21
Ørskog;SN60800;20.02.2021;11;9,2;5,2;13
Ørskog;SN60800;21.02.2021;14,2;10,4;5,2;0
Ørskog;SN60800;22.02.2021;11,4;6,8;3,5;-
Ørskog;SN60800;23.02.2021;12,4;7,1;0,4;-
Ørskog;SN60800;24.02.2021;12,2;9,1;6,4;-
Ørskog;SN60800;25.02.2021;11,5;6,8;3,8;-
Ørskog;SN60800;26.02.2021;9,1;5,2;4,3;-
Ørskog;SN60800;27.02.2021;10,3;7;3,9;-
Ørskog;SN60800;28.02.2021;11,9;4,8;0,6;-
Ørskog;SN60800;01.03.2021;9,1;6,2;1,1;-
Ørskog;SN60800;02.03.2021;6,9;5,7;4,5;-
Ørskog;SN60800;03.03.2021;6,2;3,5;1,3;-
Ørskog;SN60800;04.03.2021;2,1;-0,3;-3,4;0
Ørskog;SN60800;05.03.2021;4,1;0,7;-1,2;21
Ørskog;SN60800;06.03.2021;5;3;0,4;0
Ørskog;SN60800;07.03.2021;2;-0,4;-2,2;0
Ørskog;SN60800;08.03.2021;3,1;0,2;-3,9;4
Ørskog;SN60800;09.03.2021;6,9;2,5;0,2;11
Ørskog;SN60800;10.03.2021;6,7;4,1;-1,5;0
Ørskog;SN60800;11.03.2021;7,7;6,7;3,8;-
Ørskog;SN60800;12.03.2021;10,4;6,5;1,7;-
Ørskog;SN60800;13.03.2021;10,4;6,1;3,7;-
Ørskog;SN60800;14.03.2021;8,8;4;0,5;-
Ørskog;SN60800;15.03.2021;4,4;0,3;-2,5;-
Ørskog;SN60800;16.03.2021;2,5;0,6;-0,9;-
Ørskog;SN60800;17.03.2021;5,5;2,6;0,1;-
Ørskog;SN60800;18.03.2021;5,3;3,2;1,3;-
Ørskog;SN60800;19.03.2021;7,9;4,8;1;-
Ørskog;SN60800;20.03.2021;7,3;5,5;3,6;-
Ørskog;SN60800;21.03.2021;4,3;1,6;0,5;-
Ørskog;SN60800;22.03.2021;9,8;5,6;1;-
Ørskog;SN60800;23.03.2021;13,1;9,1;5,1;-
Ørskog;SN60800;24.03.2021;11,7;6,2;4,3;-
Ørskog;SN60800;25.03.2021;8,4;6,3;1,3;-
Ørskog;SN60800;26.03.2021;12,1;10,1;4,5;-
Ørskog;SN60800;27.03.2021;12,4;5,5;2,5;-
Ørskog;SN60800;28.03.2021;11,7;6,4;0,3;-
Ørskog;SN60800;29.03.2021;11,5;8;2,3;-
Ørskog;SN60800;30.03.2021;9,6;5,3;4,1;-
Ørskog;SN60800;31.03.2021;6,6;3,8;2,2;0
